Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","AFG","Afghanistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","27722.276","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ZAF","Afrique du Sud","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","49779.471","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ALB","Albanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3002.678","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","DZA","Algérie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","34730.608","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","DEU","Allemagne","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","81065.752","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","AND","Andorre","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","83.862","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","AGO","Angola","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","21695.634","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","AIA","Anguilla","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","13.063","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ATG","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","85.397","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ANT","Antilles néerlandaises (ex)","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","238.47","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées",""
"OA","Séries temporelles annuelles","SAU","Arabie saoudite","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","25888.541","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ARG","Argentine","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","40080.16","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ARM","Arménie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2907.618","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","ABW","Aruba","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","101.358","X","Sources internationales sûres",""
